Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Date,Selling_Price
P-2610,B-659,bags wallets belts,bags,hand bags,4.3,03-02-2017,291
P-2453,B-3078,clothing,women s clothing,western wear,3.1,01-07-2015,897
P-6802,B-1810,home decor festive needs,showpieces,ethnic,3.5,12-01-2019,792
P-4452,B-3078,beauty and personal care,eye care,h2o plus eye care,4,12-12-2014,837
P-8454,B-3078,clothing,men s clothing,t shirts,4.3,12-12-2013,470
P-5597,B-1487,home decor festive needs,table decor handicrafts,showpieces,5,04-09-2020,746
P-8398,B-3078,footwear,women s footwear,casual shoes,4.1,12-04-2017,1798
P-10744,B-2830,kitchen dining,cookware,pots pans,3.1,12-01-2013,955
P-4042,B-1045,home decor festive needs,wall decor clocks,paintings,2.4,18-03-2019,21770
P-360,B-88,automotive,accessories spare parts,car interior exterior,2.3,05-10-2018,199
P-5086,B-1347,computers,computer components,processors,4.3,12-01-2019,2470
P-1786,B-2679,clothing,women s clothing,western wear,5,30-12-2012,497
P-7089,B-1880,miss wow slim fit women s blue jeans,unknown,unknown,1.5,05-10-2017,489
P-8775,B-2261,food nutrition,health nutrition,protein supplements,3.6,06-06-2015,939
P-9951,B-2605,home decor festive needs,showpieces,shoppingtara showpieces,4.6,12-01-2018,416
P-5742,B-1517,jewellery,rings,unknown,2.8,01-01-2013,30918
P-10525,B-2755,srpc baoer starwalker executive rollerball pen g,unknown,unknown,3.2,04-05-2019,798
P-2805,B-724,home decor festive needs,candles fragrances,home fragrances,1.5,15-06-2014,290
P-10835,B-2870,computers,laptop accessories,usb gadgets,1,29-12-2018,641
P-8605,B-3078,kitchen dining,coffee mugs,printland coffee mugs,3.8,12-01-2017,298
P-11626,B-3119,kitchen dining,coffee mugs,value bay coffee mugs,1.5,19-03-2015,292
P-6539,B-1721,clothing,kids clothing,girls wear,1.7,04-02-2017,1993
P-5565,B-1478,jewellery,necklaces chains,necklaces,3,12-01-2017,300
